iso_year,iso_week,week_start,district,cases
2025,12,2025-03-17,Kurunegala,23
2025,12,2025-03-17,Puttalam,15
2025,12,2025-03-17,Anuradhapura,12
2025,12,2025-03-17,Polonnaruwa,3
2025,12,2025-03-17,Badulla,17
2025,12,2025-03-17,Monaragala,23
2025,12,2025-03-17,Ratnapura,46
2025,12,2025-03-17,Kegalle,20
2025,13,2025-03-24,Colombo,242
2025,13,2025-03-24,Gampaha,125
2025,13,2025-03-24,Kalutara,35
2025,13,2025-03-24,Kandy,59
2025,13,2025-03-24,Matale,20
2025,13,2025-03-24,Nuwara Eliya,6
2025,13,2025-03-24,Galle,35
2025,13,2025-03-24,Matara,30
2025,13,2025-03-24,Hambantota,18
2025,13,2025-03-24,Jaffna,25
2025,13,2025-03-24,Kilinochchi,0
2025,13,2025-03-24,Mannar,2
2025,13,2025-03-24,Vavuniya,1
2025,13,2025-03-24,Mullaitivu,0
2025,13,2025-03-24,Batticaloa,28
2025,13,2025-03-24,Ampara,9
2025,13,2025-03-24,Trincomalee,23
2025,13,2025-03-24,Kurunegala,21
2025,13,2025-03-24,Puttalam,10
2025,13,2025-03-24,Anuradhapura,8
2025,13,2025-03-24,Polonnaruwa,6
2025,13,2025-03-24,Badulla,6
2025,13,2025-03-24,Monaragala,24
2025,13,2025-03-24,Ratnapura,56
2025,13,2025-03-24,Kegalle,32
2025,14,2025-03-31,Colombo,239
2025,14,2025-03-31,Gampaha,135
2025,14,2025-03-31,Kalutara,30
2025,14,2025-03-31,Kandy,56
2025,14,2025-03-31,Matale,32
2025,14,2025-03-31,Nuwara Eliya,4
2025,14,2025-03-31,Galle,31
2025,14,2025-03-31,Matara,44
2025,14,2025-03-31,Hambantota,12
2025,14,2025-03-31,Jaffna,24
2025,14,2025-03-31,Kilinochchi,2
2025,14,2025-03-31,Mannar,4
2025,14,2025-03-31,Vavuniya,1
2025,14,2025-03-31,Mullaitivu,0
2025,14,2025-03-31,Batticaloa,28
2025,14,2025-03-31,Ampara,12
2025,14,2025-03-31,Trincomalee,28
2025,14,2025-03-31,Kurunegala,19
2025,14,2025-03-31,Puttalam,14
2025,14,2025-03-31,Anuradhapura,9
2025,14,2025-03-31,Polonnaruwa,4
2025,14,2025-03-31,Badulla,12
2025,14,2025-03-31,Monaragala,21
2025,14,2025-03-31,Ratnapura,45
2025,14,2025-03-31,Kegalle,24
2025,15,2025-04-07,Colombo,204
2025,15,2025-04-07,Gampaha,135
2025,15,2025-04-07,Kalutara,39
2025,15,2025-04-07,Kandy,65
2025,15,2025-04-07,Matale,21
2025,15,2025-04-07,Nuwara Eliya,3
2025,15,2025-04-07,Galle,34
2025,15,2025-04-07,Matara,38
2025,15,2025-04-07,Hambantota,13
2025,15,2025-04-07,Jaffna,15
2025,15,2025-04-07,Kilinochchi,0
2025,15,2025-04-07,Mannar,2
2025,15,2025-04-07,Vavuniya,3
2025,15,2025-04-07,Mullaitivu,2
2025,15,2025-04-07,Batticaloa,46
2025,15,2025-04-07,Ampara,15
2025,15,2025-04-07,Trincomalee,36
2025,15,2025-04-07,Kurunegala,19
2025,15,2025-04-07,Puttalam,11
2025,15,2025-04-07,Anuradhapura,6
2025,15,2025-04-07,Polonnaruwa,5
2025,15,2025-04-07,Badulla,9
2025,15,2025-04-07,Monaragala,15
2025,15,2025-04-07,Ratnapura,54
2025,15,2025-04-07,Kegalle,20
2025,16,2025-04-14,Colombo,277
2025,16,2025-04-14,Gampaha,137
2025,16,2025-04-14,Kalutara,36
2025,16,2025-04-14,Kandy,50
2025,16,2025-04-14,Matale,30
2025,16,2025-04-14,Nuwara Eliya,1
2025,16,2025-04-14,Galle,29
2025,16,2025-04-14,Matara,32
2025,16,2025-04-14,Hambantota,10
2025,16,2025-04-14,Jaffna,11
2025,16,2025-04-14,Kilinochchi,1
2025,16,2025-04-14,Mannar,1
2025,16,2025-04-14,Vavuniya,0
2025,16,2025-04-14,Mullaitivu,2
2025,16,2025-04-14,Batticaloa,70
2025,16,2025-04-14,Ampara,22
2025,16,2025-04-14,Trincomalee,33
2025,16,2025-04-14,Kurunegala,17
2025,16,2025-04-14,Puttalam,8
2025,16,2025-04-14,Anuradhapura,3
2025,16,2025-04-14,Polonnaruwa,6
2025,16,2025-04-14,Badulla,18
2025,16,2025-04-14,Monaragala,29
2025,16,2025-04-14,Ratnapura,146
2025,16,2025-04-14,Kegalle,29
2025,17,2025-04-21,Colombo,230
