iso_year,iso_week,district,rainfall_mm,avg_temp_c
2025,12,Nuwara Eliya,18.8,15.9714285714286
2025,12,Galle,59.1,26.3714285714286
2025,12,Matara,44.9,26.5142857142857
2025,12,Hambantota,44.3,27.3142857142857
2025,12,Jaffna,9.1,28.4571428571429
2025,12,Kilinochchi,14.6,27.9428571428571
2025,12,Mannar,7.7,28.1714285714286
2025,12,Vavuniya,16.2,26.9142857142857
2025,12,Mullaitivu,6.7,28.0428571428571
2025,12,Batticaloa,14.3,27.9142857142857
2025,12,Ampara,19.5,27.3285714285714
2025,12,Trincomalee,14.1,27.8857142857143
2025,12,Kurunegala,24,26.3285714285714
2025,12,Puttalam,29.3,27.1428571428571
2025,12,Anuradhapura,43.7,26.9428571428571
2025,12,Polonnaruwa,24.3,26.9571428571429
2025,12,Badulla,35.4,22.7142857142857
2025,12,Monaragala,40,25.7857142857143
2025,12,Ratnapura,22,26.4571428571429
2025,12,Kegalle,25.3,26.0428571428571
2025,13,Colombo,11.3,28.2142857142857
2025,13,Gampaha,26.2,27.1428571428571
2025,13,Kalutara,12.7,26.9142857142857
2025,13,Kandy,25,25.0714285714286
2025,13,Matale,6.3,26.4142857142857
2025,13,Nuwara Eliya,17.7,15.8857142857143
2025,13,Galle,27.9,26.7714285714286
2025,13,Matara,49.7,26.6142857142857
2025,13,Hambantota,13,27.4
2025,13,Jaffna,1.4,28.4857142857143
2025,13,Kilinochchi,0.2,28
2025,13,Mannar,1.3,28.5142857142857
2025,13,Vavuniya,0.6,27.6428571428571
2025,13,Mullaitivu,1,27.8285714285714
2025,13,Batticaloa,15,27.4428571428571
2025,13,Ampara,28.7,26.9571428571429
2025,13,Trincomalee,4.7,27.5857142857143
2025,13,Kurunegala,9.7,27.5857142857143
2025,13,Puttalam,9.4,27.7714285714286
2025,13,Anuradhapura,1.1,27.7285714285714
2025,13,Polonnaruwa,20.2,27.3571428571429
2025,13,Badulla,22.6,22.9714285714286
2025,13,Monaragala,48.2,25.6
2025,13,Ratnapura,36.1,26.5571428571429
2025,13,Kegalle,16.1,26.7714285714286
2025,14,Colombo,53.6,27.3142857142857
2025,14,Gampaha,89.9,26.7
2025,14,Kalutara,69.4,26.1142857142857
2025,14,Kandy,60.4,23.9857142857143
2025,14,Matale,125.6,25
2025,14,Nuwara Eliya,79,16.0285714285714
2025,14,Galle,94.1,26.0857142857143
2025,14,Matara,91.9,26.0428571428571
2025,14,Hambantota,48.6,26.5428571428571
2025,14,Jaffna,38.4,28.1285714285714
2025,14,Kilinochchi,47.1,27.4857142857143
2025,14,Mannar,23.7,27.8428571428571
2025,14,Vavuniya,72.6,26.5428571428571
2025,14,Mullaitivu,27.6,27.5714285714286
2025,14,Batticaloa,82.4,27.2428571428571
2025,14,Ampara,110.7,26.5
2025,14,Trincomalee,42.2,27.2142857142857
2025,14,Kurunegala,88,26.0285714285714
2025,14,Puttalam,67.5,26.7857142857143
2025,14,Anuradhapura,88.9,26.6
2025,14,Polonnaruwa,111.7,26.5285714285714
2025,14,Badulla,74.8,22.5428571428571
2025,14,Monaragala,83.5,24.7428571428571
2025,14,Ratnapura,101.9,26.0571428571429
2025,14,Kegalle,85.4,25.8428571428571
2025,15,Colombo,55.2,26.5714285714286
2025,15,Gampaha,53,26.0571428571429
2025,15,Kalutara,71.4,26
2025,15,Kandy,27.7,23.7857142857143
2025,15,Matale,24.2,25.1
2025,15,Nuwara Eliya,28.5,16.2
2025,15,Galle,75.6,26.1
2025,15,Matara,92.3,26.0571428571429
2025,15,Hambantota,46,27.2285714285714
2025,15,Jaffna,10.1,29.3
2025,15,Kilinochchi,7.3,28.5714285714286
2025,15,Mannar,8.3,29.1714285714286
2025,15,Vavuniya,9.1,27.2428571428571
2025,15,Mullaitivu,9.6,28.5571428571429
2025,15,Batticaloa,46.4,27.7142857142857
2025,15,Ampara,67.5,26.9571428571429
2025,15,Trincomalee,20.4,28.0428571428571
2025,15,Kurunegala,24,26.0285714285714
2025,15,Puttalam,24.5,27.3714285714286
2025,15,Anuradhapura,18.6,27.0571428571429
2025,15,Polonnaruwa,33.4,27.6
2025,15,Badulla,19.8,23.1285714285714
2025,15,Monaragala,47.5,25.3285714285714
2025,15,Ratnapura,117.6,25.6428571428571
2025,15,Kegalle,54.7,25.6571428571429
2025,16,Colombo,13.7,28.1714285714286
2025,16,Gampaha,18.2,27.5285714285714
2025,16,Kalutara,16.9,27.1428571428571
2025,16,Kandy,30.2,24.0428571428571
2025,16,Matale,32.3,25.8
2025,16,Nuwara Eliya,36.8,16.3857142857143
2025,16,Galle,19.3,27.3857142857143
2025,16,Matara,25.8,27.4
2025,16,Hambantota,13.1,28.1857142857143
2025,16,Jaffna,3,29.8857142857143
2025,16,Kilinochchi,2.7,29.4714285714286
2025,16,Mannar,5.5,29.4714285714286
2025,16,Vavuniya,12.2,28.3428571428571
2025,16,Mullaitivu,4.6,28.9428571428571
2025,16,Batticaloa,23.4,28.3714285714286
2025,16,Ampara,23,27.7714285714286
2025,16,Trincomalee,15.7,28.3857142857143
2025,16,Kurunegala,23.7,27.4857142857143
2025,16,Puttalam,18,28.7571428571429
2025,16,Anuradhapura,16.4,28.3857142857143
2025,16,Polonnaruwa,17.2,27.9428571428571
2025,16,Badulla,9.8,23.5285714285714
2025,16,Monaragala,59.8,25.9857142857143
2025,16,Ratnapura,32,26.7
2025,16,Kegalle,22.7,26.7142857142857
2025,17,Colombo,27.4,27.6142857142857
2025,17,Gampaha,33.4,27.2571428571429
2025,17,Kalutara,31.4,26.7428571428571
2025,17,Kandy,21.1,24.1571428571429
2025,17,Matale,54.4,25.5571428571429
2025,17,Nuwara Eliya,46.4,16.2142857142857
2025,17,Galle,17.7,27.5571428571429
2025,17,Matara,21.6,27.3428571428571
2025,17,Hambantota,8.2,28.4714285714286
2025,17,Jaffna,11.5,29.3428571428571
2025,17,Kilinochchi,25.1,28.5857142857143
2025,17,Mannar,4.5,29.2285714285714
2025,17,Vavuniya,38.4,27.4571428571429
2025,17,Mullaitivu,37.4,28.3142857142857
2025,17,Batticaloa,36.3,28.0285714285714
2025,17,Ampara,59.9,27.3142857142857
2025,17,Trincomalee,77.1,27.6714285714286
2025,17,Kurunegala,39.7,26.8857142857143
2025,17,Puttalam,18.5,28.4857142857143
2025,17,Anuradhapura,60.8,27.6
2025,17,Polonnaruwa,54.7,27.3857142857143
2025,17,Badulla,30,23.1857142857143
2025,17,Monaragala,50.8,25.8714285714286
2025,17,Ratnapura,70.7,26.4714285714286
2025,17,Kegalle,30.8,26.8285714285714
2025,18,Colombo,46.5,27.5142857142857
2025,18,Gampaha,52.3,27.2
2025,18,Kalutara,63,26.6
2025,18,Kandy,28.1,24.1285714285714
2025,18,Matale,47.6,25.4428571428571
2025,18,Nuwara Eliya,47.2,16.4285714285714
2025,18,Galle,64.8,26.7428571428571
2025,18,Matara,82.7,26.5714285714286
2025,18,Hambantota,31.2,27.7
2025,18,Jaffna,21.7,29.0571428571429
2025,18,Kilinochchi,36.3,28.5
2025,18,Mannar,10.3,29.1571428571429
2025,18,Vavuniya,72.7,27.3285714285714
2025,18,Mullaitivu,51.6,28.0428571428571
2025,18,Batticaloa,49.9,27.7
2025,18,Ampara,62.8,26.9857142857143
2025,18,Trincomalee,57.5,27.6142857142857
2025,18,Kurunegala,48.5,26.5428571428571
2025,18,Puttalam,34.7,28.3142857142857
2025,18,Anuradhapura,50.5,27.2857142857143
2025,18,Polonnaruwa,102.3,27.2285714285714
2025,18,Badulla,44.2,23.4285714285714
2025,18,Monaragala,44.4,25.5571428571429
2025,18,Ratnapura,82.1,26.2714285714286
2025,18,Kegalle,31.8,26.5857142857143
2025,19,Colombo,31.1,27.9571428571429
2025,19,Gampaha,33.1,27.5
2025,19,Kalutara,39.4,27.3714285714286
2025,19,Kandy,10.6,24.5285714285714
2025,19,Matale,17.5,26.0571428571429
2025,19,Nuwara Eliya,17.3,16.9857142857143
2025,19,Galle,28.9,27.5142857142857
2025,19,Matara,29.5,27.4428571428571
2025,19,Hambantota,11.3,28.8571428571429
2025,19,Jaffna,9.6,29.6285714285714
2025,19,Kilinochchi,8.5,29.4857142857143
2025,19,Mannar,1.5,30.0428571428571
2025,19,Vavuniya,15.6,28.3714285714286
2025,19,Mullaitivu,10.1,28.9857142857143
2025,19,Batticaloa,16.1,28.7714285714286
2025,19,Ampara,17.4,28.0428571428571
2025,19,Trincomalee,26.6,28.6571428571429
2025,19,Kurunegala,16.4,27.5
2025,19,Puttalam,16.4,29.5285714285714
2025,19,Anuradhapura,29.7,28.2285714285714
2025,19,Polonnaruwa,30.3,28.3428571428571
2025,19,Badulla,4.5,24.5142857142857
2025,19,Monaragala,14,26.7428571428571
2025,19,Ratnapura,50.5,26.7
2025,19,Kegalle,27.1,27.2285714285714
2025,20,Colombo,54.9,27.8
2025,20,Gampaha,66.1,27.1857142857143
2025,20,Kalutara,67.2,27.1142857142857
2025,20,Kandy,33.2,24.2428571428571
2025,20,Matale,29.4,25.4714285714286
2025,20,Nuwara Eliya,9.3,16.9428571428571
2025,20,Galle,36.1,27.4857142857143
2025,20,Matara,22,27.7428571428571
2025,20,Hambantota,3.1,29.6857142857143
2025,20,Jaffna,25.7,29.8
2025,20,Kilinochchi,17.2,29.6857142857143
2025,20,Mannar,43.8,29.8857142857143
2025,20,Vavuniya,29,28.5857142857143
2025,20,Mullaitivu,21.8,29.3857142857143
2025,20,Batticaloa,46.6,28.9571428571429
2025,20,Ampara,34.1,28.2714285714286
2025,20,Trincomalee,19.2,29
2025,20,Kurunegala,22.6,27.1
2025,20,Puttalam,44.5,29.6714285714286
2025,20,Anuradhapura,19.9,28.4285714285714
2025,20,Polonnaruwa,2.2,29.2142857142857
2025,20,Badulla,2.8,24.7571428571429
2025,20,Monaragala,11.2,27
2025,20,Ratnapura,79.2,26.4142857142857
2025,20,Kegalle,48.6,26.7285714285714
2025,21,Colombo,102.4,27.5428571428571
2025,21,Gampaha,96.3,26.8714285714286
2025,21,Kalutara,90.9,27.0571428571429
2025,21,Kandy,18.4,24.5142857142857
2025,21,Matale,33.1,25.1857142857143
2025,21,Nuwara Eliya,17.1,16.5428571428571
2025,21,Galle,78.9,27.2857142857143
2025,21,Matara,57.5,27.1428571428571
2025,21,Hambantota,12.5,28.4857142857143
2025,21,Jaffna,6.9,29.4428571428571
2025,21,Kilinochchi,5.3,29.3285714285714
2025,21,Mannar,27.4,29.3857142857143
2025,21,Vavuniya,12.3,28.5142857142857
2025,21,Mullaitivu,9.3,29.6714285714286
2025,21,Batticaloa,9.9,29.3857142857143
2025,21,Ampara,18.7,28.3857142857143
2025,21,Trincomalee,3.4,29.1714285714286
2025,21,Kurunegala,36.6,26.1857142857143
2025,21,Puttalam,28.7,28.6857142857143
2025,21,Anuradhapura,10.3,28.0428571428571
2025,21,Polonnaruwa,0.9,29.1714285714286
2025,21,Badulla,21.6,25.3857142857143
2025,21,Monaragala,4.5,26.9857142857143
2025,21,Ratnapura,106.2,26.2142857142857
2025,21,Kegalle,45.6,26.0142857142857
2025,22,Colombo,71.9,27.8285714285714
2025,22,Gampaha,81.5,27.4714285714286
2025,22,Kalutara,75,27.4285714285714
2025,22,Kandy,52.3,23.9571428571429
2025,22,Matale,86.1,24.4428571428571
2025,22,Nuwara Eliya,88.9,15.9142857142857
2025,22,Galle,72,27.2428571428571
2025,22,Matara,52.5,27.1
2025,22,Hambantota,16.1,28.1571428571429
2025,22,Jaffna,38.4,29.3142857142857
2025,22,Kilinochchi,4,29.6142857142857
2025,22,Mannar,6.3,29.2285714285714
2025,22,Vavuniya,7.1,29.3857142857143
2025,22,Mullaitivu,3.8,30.3428571428571
2025,22,Batticaloa,7.8,30.3142857142857
2025,22,Ampara,6.8,29.0142857142857
2025,22,Trincomalee,4.3,29.9857142857143
2025,22,Kurunegala,63.6,25.7571428571429
2025,22,Puttalam,16.5,28.7285714285714
2025,22,Anuradhapura,11.1,28.7571428571429
2025,22,Polonnaruwa,3.5,29.0428571428571
2025,22,Badulla,5.2,26.4714285714286
2025,22,Monaragala,8.8,27.2142857142857
2025,22,Ratnapura,122.2,25.9142857142857
2025,22,Kegalle,90.6,25.5
2025,23,Colombo,28.7,27.8
2025,23,Gampaha,29.3,27.2428571428571
2025,23,Kalutara,30.9,27.5142857142857
2025,23,Kandy,7.3,24.3285714285714
2025,23,Matale,13.6,25.7142857142857
2025,23,Nuwara Eliya,3.3,16.5
2025,23,Galle,29,27.6428571428571
2025,23,Matara,10.4,27.6142857142857
2025,23,Hambantota,2.5,29.5714285714286
2025,23,Jaffna,4.8,29.5571428571429
2025,23,Kilinochchi,0.7,29.7571428571429
2025,23,Mannar,0.2,29.2142857142857
2025,23,Vavuniya,4.6,29.2857142857143
2025,23,Mullaitivu,5,30.2428571428571
2025,23,Batticaloa,12.7,29.5571428571429
2025,23,Ampara,2.9,28.9571428571429
2025,23,Trincomalee,3.8,30.0285714285714
2025,23,Kurunegala,5.2,27.0571428571429
2025,23,Puttalam,5.3,28.9571428571429
2025,23,Anuradhapura,2.3,28.6428571428571
2025,23,Polonnaruwa,3.4,30.0142857142857
2025,23,Badulla,9.4,25.8285714285714
2025,23,Monaragala,10.3,28.4428571428571
2025,23,Ratnapura,32.2,26.9714285714286
2025,23,Kegalle,12.4,26.9142857142857
2025,24,Colombo,148.7,26.6428571428571
2025,24,Gampaha,218.3,25.9428571428571
2025,24,Kalutara,146.7,26.0714285714286
2025,24,Kandy,84.6,23.3428571428571
2025,24,Matale,93.6,23.8142857142857
2025,24,Nuwara Eliya,95.1,15.6857142857143
2025,24,Galle,151.4,26.2571428571429
2025,24,Matara,91.7,26.0714285714286
2025,24,Hambantota,18.8,27.5285714285714
2025,24,Jaffna,5.6,29.0857142857143
2025,24,Kilinochchi,3.1,29.2714285714286
2025,24,Mannar,7.4,28.6571428571429
2025,24,Vavuniya,9.9,28.8
2025,24,Mullaitivu,3.4,29.8714285714286
2025,24,Batticaloa,9.8,29.9571428571429
2025,24,Ampara,15.9,28.8285714285714
2025,24,Trincomalee,4.4,29.2571428571429
2025,24,Kurunegala,119.5,24.6714285714286
2025,24,Puttalam,50.8,28.1142857142857
2025,24,Anuradhapura,18.8,27.6285714285714
2025,24,Polonnaruwa,5.6,28.6
2025,24,Badulla,26.8,26.0142857142857
2025,24,Monaragala,3.4,27.2571428571429
2025,24,Ratnapura,265.1,24.9142857142857
2025,24,Kegalle,199,24.4714285714286
2025,25,Colombo,58.6,27.1142857142857
2025,25,Gampaha,54.8,26.5714285714286
2025,25,Kalutara,53.9,26.6571428571429
2025,25,Kandy,24,24.0571428571429
2025,25,Matale,35.6,24.6571428571429
2025,25,Nuwara Eliya,15.8,15.7857142857143
2025,25,Galle,49.2,26.8285714285714
2025,25,Matara,29,26.7
2025,25,Hambantota,4.9,28.3
2025,25,Jaffna,9.7,29.0714285714286
2025,25,Kilinochchi,3.4,29.5857142857143
2025,25,Mannar,4.8,28.6
2025,25,Vavuniya,3.9,29.2857142857143
2025,25,Mullaitivu,2.8,30.4142857142857
2025,25,Batticaloa,18.7,29.6
2025,25,Ampara,8.9,28.8428571428571
2025,25,Trincomalee,1.9,29.8142857142857
2025,25,Kurunegala,28.7,25.7
2025,25,Puttalam,10.8,28.2571428571429
2025,25,Anuradhapura,2.9,28.2142857142857
2025,25,Polonnaruwa,2,29.2857142857143
